nome_aluno,sexo_aluno,idade_aluno,escola_aluno,escolaridade_aluno,curso,professor,data_matricula,concluiu_curso,respostas_corretas,avaliacao_curso
João Pereira Souza,Masculino,16,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,31/03/2023,True,71,1
Carlos Carvalho Gomes,Masculino,15,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Introdução a visão computacional com OpenCV,Carlos Cunha,05/03/2024,True,88,3
Lucas Rodrigues Costa,Masculino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,15/04/2023,True,73,4
Isabela Pereira Silva,Feminino,20,Ceep Paulo Ferraz,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,22/03/2023,True,96,5
Isabela Souza Santos,Feminino,15,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,IA para SEO e Otimização de conteúdos,Mario Santos,23/03/2023,False,12,4
Amanda Oliveira Costa,Feminino,17,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,IA Generativa de Imagens,Fábio Andrade,15/09/2024,True,87,5
Marcos Rodrigues Pereira,Masculino,20,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,Lógica de programação com Python,Carlos Cunha,27/02/2023,True,71,5
Camila Santos Souza,Feminino,19,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Criação de conteúdo com IA,Mario Santos,02/11/2024,True,98,5
Juliana Pereira Oliveira,Feminino,16,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Incompleto,Manipulação de dados com Python,Carlos Cunha,20/08/2024,True,77,5
Antônio Almeida Santos,Masculino,21,U E de Ensino Médio Vila Maria,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,04/10/2024,True,91,4
Rafael Rodrigues Gomes,Masculino,18,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,12/01/2023,True,73,5
Amanda Santos Pereira,Feminino,18,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Engenharia de Prompts para IA Generativa,Fábio Andrade,09/01/2025,False,33,5
Antônio Santos Pereira,Masculino,21,Ceep Professor Ruy Leite Berger Filho,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,18/01/2024,False,69,5
Daniel Costa Almeida,Masculino,15,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,IA para SEO e Otimização de conteúdos,Mario Santos,03/09/2023,True,98,4
Pedro Almeida Santos,Masculino,21,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,IA Generativa de Videos,Fábio Andrade,06/11/2024,True,87,3
Patrícia Carvalho Souza,Feminino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Incompleto,Lógica de programação com Python,Carlos Cunha,24/03/2024,False,57,2
Pedro Costa Silva,Masculino,19,Ceep Pref João Mendes Olimpio de Melo,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,08/01/2023,True,90,2
João Costa Santos,Masculino,19,Ceep Em Saude Mons José Luis Barbosa Cortez,Ensino Médio Incompleto,Introdução a IA com scikit-learn,Carlos Cunha,08/08/2023,True,93,5
Patrícia Almeida Rodrigues,Feminino,16,U E de Ensino Médio Vila Maria,Ensino Médio Completo,Manipulação de dados com Python,Carlos Cunha,29/12/2023,True,84,5
Pedro Silva Rodrigues,Masculino,20,Ceep José Pacifico de Moura Neto,Ensino Médio Completo,Criação de conteúdo com IA,Mario Santos,16/07/2023,True,84,2
Gabriel Almeida Souza,Masculino,21,U E de Ensino Médio Vila Maria,Ensino Médio Incompleto,Introdução a visão computacional com OpenCV,Carlos Cunha,11/04/2023,True,87,5
